charTrigrams,wordBigrams,wordUnigrams
nic,keep amp,dear
rld,amp bear,simpl
rch,arm shall,extrem
ual,shall infring,own
k i,the ralli,phone
s m,share messag,short
muc,got other,snap
los,other back,fantast
k b,go make,quot
ert,law enforc,offer
nal,the biggest,skill
spi,black woman,eye
hil,woman walk,scene
hom,virginian today,sport
y f,unit stand,emilia
oh,come close,improv
 aw,i definit,role
w t,across countri,sit
urn,super proud,design
orn,everyon i,speaker
fav,mean s,ta
nex,s anoth,goe
cam,violenc crowd,humbl
big,god given,x
reg,i ask,rock
ife,mani differ,pose
did,black american,glass
rom,heather heyer,mr
ice,mom say,pup
ina,might go,puppi
ask,everi one,paw
ose,t give,harri
fee,when larg,sophi
eck,bill right,screen
yes,gather msm,essenti
law,msm call,april
s n,white peopl,diet
ale,gun keep,data
pon,keep peac,list
urr,peac keep,realiz
s h,enemi of,focu
rs,of the,moment
alw,african american,christoph
lwa,thi lie,field
def,these kind,spell
bra,it i,winnie
p b,i share,braver
uck,prison it,stronger
arl,s violenc,stream
eel,the presid,feat
ham,novemb elect,finish
o c,chamber gener,von
vio,gener assembl,sydow
eng,across us,crown
unc,law allow,presal
y r,undermin democraci,scale
tin,look punk,roundtabl
s u,re proud,price
maz,amp sister,electron
lle,democrat take,deleg
xt,gather outsid,congress
rre,california s,nelson
lso,i wonder,quit
h b,these patriot,defeat
nev,safe amp,republican
rai,i one,south
cen,amp grant,rd
a a,get dress,worker
ov,s call,choos
err,the differ,jr
cas,found father,eat
o w,never forget,dem
e k,one best,fall
ppe,go home,revolut
ean,the crowd,zero
org,new media,b
n o,kill children,strength
ach,thi organ,usa
w p,yet still,sent
h p,around mask,lawmak
rma,today ask,by
soc,whi i,fascist
uni,i wear,sean
v s,wear mask,hilari
who,you are,richard
g t,right bear,propos
h i,out northam,grab
ock,amend wasnt,defens
san,wasnt written,attent
c a,take gun,john
ano,northam nd,hype
uar,start get,pull
wo,less hour,park
saf,dr king,calm
gov,today we,radio
hec,mani peopl,tune
inf,see me,or
bre,know expect,seriou
iot,support brother,infring
twe,must read,washington
p a,p a,trash
far,just saw,environment
k r,how long,racism
met,want take,pray
bet,you think,ten
p t,amp a,normal
