charTrigrams,wordBigrams,wordUnigrams
olo,reject shahi,fit
k l,shahi imam,dad
ctu,imam could,glass
k m,could sens,gari
ama,sens chang,fals
k c,chang inevit,document
ose,inevit a,congress
iff,a chang,activ
mmi,chang made,defeat
 em,made lot,who
 au,lot power,agre
eak,power hungri,presidenti
m r,hungri peopl,brag
usl,peopl restless,avail
up,chandrashekar azad,denial
n o,azad polit,had
r v,polit prison,rd
ile,prison arrest,draw
top,arrest exercis,clock
arg,exercis democrat,mention
