charTrigrams,wordBigrams,wordUnigrams
esp,most powerful,signs
f m,s time,sir
pon,crowd was,awesome
vic,that you,behind
emi,wasn t,close
rte,sure those,drone
til,and then,create
rse,virginia s,knows
rai,as an,win
ork,them for,met
ets,wont be,result
hoo,a black,shit
egi,war we,defending
a n,the answer,la
iot,open carry,critically
lim,state the,ones
p s,background checks,mask
oud,again that,trial
 jo,the problem,lose
abl,news media,prison
vot,media and,gunman
eth,this for,extremists
ngs,that have,press
die,it all,seen
e j,say that,attending
wel,did this,enjoy
ek,do we,entire
dre,freedom and,continue
r e,it would,later
rti,where we,pay
ndm,in support,playing
fen,support of,citizen
equ,all those,looks
ser,virginia today,pray
rmy,stood up,simple
bid,the peaceful,politician
mig,know if,starting
liv,the governor,launched
h o,other way,wide
wou,about how,p
ami,about to,rise
lis,a huge,thought
omi,a group,al
tec,and or,tired
g g,to say,promise
fic,this country,reading
usl,martin luther,wondering
kha,luther king,low
lar,king jr,cancer
fe,be infringed,short
 fl,because i,condition
f i,my rights,making
had,to send,tear
g h,send a,pension
rch,of every,macron
